event_id,t0,m0,mw,x,y,z,area,dt
781,24979050039.791027,1.1783827395645433e+22,8.647524,1934099.333,5425026.667,-7971.458,38362908857.102394,59.875972747802734
1683,41084391327.55277,9.74693862614611e+21,8.592579,1694865.333,5354526.333,-21202.97,41332166958.57684,71.00028228759766
2195,49961447219.218925,1.8244736462287991e+22,8.774092,1874598,5499409.333,-15398.51667,53613143514.48355,53.563262939453125
2247,50887637257.35762,5.890026328424727e+21,8.446745,2069719,5688219.333,-8483.013667,23365543247.95893,43.83483123779297
3169,67582294043.23217,1.9322652320594757e+21,8.124044,2088031.333,5859768.667,-31527.01333,10652453369.37282,33.94508361816406
